scrape_timestamp,page_number,row_number,inferred_name,inferred_handle,inferred_followers,inferred_er,inferred_engagement,numeric_tokens,percent_tokens,all_visible_text,visible_lines_json,debug_notes,line_1,line_2,line_3,line_4,line_5,line_6,line_7,line_8,line_9,line_10,line_11,line_12
2026-03-30T10:29:41,25,14,Kayla Elderkin | Business Coach,@kaylaelderkinofficial,424.7k,0.02%,0.02,"[""424.7k"", ""0.02"", ""94""]","[""0.02%""]",Kayla Elderkin | Business Coach | @kaylaelderkinofficial | 424.7k | 0.02% | 94 | Save,"[""Kayla Elderkin | Business Coach"", ""@kaylaelderkinofficial"", ""424.7k"", ""0.02%"", ""94"", ""Save""]",,Kayla Elderkin | Business Coach,@kaylaelderkinofficial,424.7k,0.02%,94,Save,,,,,,
2026-03-30T10:29:41,25,15,DONZELLA BURTON,@theassistedlivingcoach,424k,0.02%,0.02,"[""424k"", ""0.02"", ""76""]","[""0.02%""]",DONZELLA BURTON | @theassistedlivingcoach | 424k | 0.02% | 76 | Save,"[""DONZELLA BURTON"", ""@theassistedlivingcoach"", ""424k"", ""0.02%"", ""76"", ""Save""]",,DONZELLA BURTON,@theassistedlivingcoach,424k,0.02%,76,Save,,,,,,
2026-03-30T10:30:08,26,1,Josh Taubes - Fitness Coach -,@diesel.josh,422.9k,0.36%,0.36,"[""422.9k"", ""0.36"", ""1.5k""]","[""0.36%""]",Josh Taubes - Fitness Coach - | @diesel.josh | 422.9k | 0.36% | 1.5k | Save,"[""Josh Taubes - Fitness Coach -"", ""@diesel.josh"", ""422.9k"", ""0.36%"", ""1.5k"", ""Save""]",,Josh Taubes - Fitness Coach -,@diesel.josh,422.9k,0.36%,1.5k,Save,,,,,,
2026-03-30T10:30:08,26,2,HOF Ed Reed phil: 4:13 Da Maestro,@edreedhof20,4,,13,"[""4"", ""13""]",[],HOF Ed Reed phil: 4:13 Da Maestro | @edreedhof20,"[""HOF Ed Reed phil: 4:13 Da Maestro"", ""@edreedhof20""]",er_missing,HOF Ed Reed phil: 4:13 Da Maestro,@edreedhof20,,,,,,,,,,
2026-03-30T10:30:08,26,3,Ryan Milton “Coach Ry”,@teamfflex,422.4k,0.94%,0.94,"[""422.4k"", ""0.94"", ""4k""]","[""0.94%""]",Ryan Milton “Coach Ry” | @teamfflex | 422.4k | 0.94% | 4k | Save,"[""Ryan Milton \u201cCoach Ry\u201d"", ""@teamfflex"", ""422.4k"", ""0.94%"", ""4k"", ""Save""]",,Ryan Milton “Coach Ry”,@teamfflex,422.4k,0.94%,4k,Save,,,,,,
2026-03-30T10:30:08,26,4,"Sonia Andreou, MD",@drsunnyandrews,421.2k,0.39%,0.39,"[""421.2k"", ""0.39"", ""1.7k""]","[""0.39%""]","Sonia Andreou, MD | @drsunnyandrews | 421.2k | 0.39% | 1.7k | Save","[""Sonia Andreou, MD"", ""@drsunnyandrews"", ""421.2k"", ""0.39%"", ""1.7k"", ""Save""]",,"Sonia Andreou, MD",@drsunnyandrews,421.2k,0.39%,1.7k,Save,,,,,,
2026-03-30T10:30:08,26,5,Steve Burton,@1steveburton,420.1k,1.97%,1.97,"[""420.1k"", ""1.97"", ""8.3k""]","[""1.97%""]",Steve Burton | @1steveburton | 420.1k | 1.97% | 8.3k | Save,"[""Steve Burton"", ""@1steveburton"", ""420.1k"", ""1.97%"", ""8.3k"", ""Save""]",,Steve Burton,@1steveburton,420.1k,1.97%,8.3k,Save,,,,,,
2026-03-30T10:30:08,26,6,Sanni McCandless Honnold,@sannimccandless,420.1k,4.84%,4.84,"[""420.1k"", ""4.84"", ""20.3k""]","[""4.84%""]",Sanni McCandless Honnold | @sannimccandless | 420.1k | 4.84% | 20.3k | Save,"[""Sanni McCandless Honnold"", ""@sannimccandless"", ""420.1k"", ""4.84%"", ""20.3k"", ""Save""]",,Sanni McCandless Honnold,@sannimccandless,420.1k,4.84%,20.3k,Save,,,,,,
2026-03-30T10:30:08,26,7,Stephen Navaretta | Calisthenics & Bodyweight Coach,@brooklyntank718,419.5k,0.15%,0.15,"[""419.5k"", ""0.15"", ""616""]","[""0.15%""]",Stephen Navaretta | Calisthenics & Bodyweight Coach | @brooklyntank718 | 419.5k | 0.15% | 616 | Save,"[""Stephen Navaretta | Calisthenics & Bodyweight Coach"", ""@brooklyntank718"", ""419.5k"", ""0.15%"", ""616"", ""Save""]",,Stephen Navaretta | Calisthenics & Bodyweight Coach,@brooklyntank718,419.5k,0.15%,616,Save,,,,,,
2026-03-30T10:30:08,26,8,Christine Marie | Cortisol Coach for Women 40+,@cortisol_coach,40,0.03%,419k,"[""40"", ""419k"", ""0.03"", ""125""]","[""0.03%""]",Christine Marie | Cortisol Coach for Women 40+ | @cortisol_coach | 419k | 0.03% | 125 | Save,"[""Christine Marie | Cortisol Coach for Women 40+"", ""@cortisol_coach"", ""419k"", ""0.03%"", ""125"", ""Save""]",,Christine Marie | Cortisol Coach for Women 40+,@cortisol_coach,419k,0.03%,125,Save,,,,,,
2026-03-30T10:30:08,26,9,Maurice Daniels - Online Fat Loss Coach For Career-Driven Women,@teammoefitness,419k,0.09%,0.09,"[""419k"", ""0.09"", ""394""]","[""0.09%""]",Maurice Daniels - Online Fat Loss Coach For Career-Driven Women | @teammoefitness | 419k | 0.09% | 394 | Save,"[""Maurice Daniels - Online Fat Loss Coach For Career-Driven Women"", ""@teammoefitness"", ""419k"", ""0.09%"", ""394"", ""Save""]",,Maurice Daniels - Online Fat Loss Coach For Career-Driven Women,@teammoefitness,419k,0.09%,394,Save,,,,,,
2026-03-30T10:30:08,26,10,Allen Speigner,@allenxspeigner,418.4k,0.14%,0.14,"[""418.4k"", ""0.14"", ""595""]","[""0.14%""]",Allen Speigner | @allenxspeigner | 418.4k | 0.14% | 595 | Save,"[""Allen Speigner"", ""@allenxspeigner"", ""418.4k"", ""0.14%"", ""595"", ""Save""]",,Allen Speigner,@allenxspeigner,418.4k,0.14%,595,Save,,,,,,
2026-03-30T10:30:08,26,11,Chijo Takeda,@coachchijo,417.8k,0.18%,0.18,"[""417.8k"", ""0.18"", ""753""]","[""0.18%""]",Chijo Takeda | @coachchijo | 417.8k | 0.18% | 753 | Save,"[""Chijo Takeda"", ""@coachchijo"", ""417.8k"", ""0.18%"", ""753"", ""Save""]",,Chijo Takeda,@coachchijo,417.8k,0.18%,753,Save,,,,,,
2026-03-30T10:30:08,26,12,Brian Smith,@bsmith_215,417.1k,0.23%,0.23,"[""417.1k"", ""0.23"", ""966""]","[""0.23%""]",Brian Smith | @bsmith_215 | 417.1k | 0.23% | 966 | Save,"[""Brian Smith"", ""@bsmith_215"", ""417.1k"", ""0.23%"", ""966"", ""Save""]",,Brian Smith,@bsmith_215,417.1k,0.23%,966,Save,,,,,,
2026-03-30T10:30:08,26,13,Lindsay Wadman Kelly,@lewkelly06,416.4k,0.97%,0.97,"[""416.4k"", ""0.97"", ""4k""]","[""0.97%""]",Lindsay Wadman Kelly | @lewkelly06 | 416.4k | 0.97% | 4k | Save,"[""Lindsay Wadman Kelly"", ""@lewkelly06"", ""416.4k"", ""0.97%"", ""4k"", ""Save""]",,Lindsay Wadman Kelly,@lewkelly06,416.4k,0.97%,4k,Save,,,,,,
2026-03-30T10:30:08,26,14,Kyle Travis | Scoring & Skills Coach,@kyletrav1s,416.3k,0.06%,0.06,"[""416.3k"", ""0.06"", ""231""]","[""0.06%""]",Kyle Travis | Scoring & Skills Coach | @kyletrav1s | 416.3k | 0.06% | 231 | Save,"[""Kyle Travis | Scoring & Skills Coach"", ""@kyletrav1s"", ""416.3k"", ""0.06%"", ""231"", ""Save""]",,Kyle Travis | Scoring & Skills Coach,@kyletrav1s,416.3k,0.06%,231,Save,,,,,,
2026-03-30T10:30:08,26,15,𝐑𝐚𝐩𝐡𝐚𝐞𝐥 𝐒𝐡𝐚𝐰𝐚𝐧 🤟| ᴍɪɴᴅsᴇᴛ ᴍᴀsᴛᴇʀʏ,@tweetfromnext,415.8k,0.03%,0.03,"[""415.8k"", ""0.03"", ""111""]","[""0.03%""]",𝐑𝐚𝐩𝐡𝐚𝐞𝐥 𝐒𝐡𝐚𝐰𝐚𝐧 🤟| ᴍɪɴᴅsᴇᴛ ᴍᴀsᴛᴇʀʏ | @tweetfromnext | 415.8k | 0.03% | 111 | Save,"[""\ud835\udc11\ud835\udc1a\ud835\udc29\ud835\udc21\ud835\udc1a\ud835\udc1e\ud835\udc25 \ud835\udc12\ud835\udc21\ud835\udc1a\ud835\udc30\ud835\udc1a\ud835\udc27 \ud83e\udd1f| \u1d0d\u026a\u0274\u1d05s\u1d07\u1d1b \u1d0d\u1d00s\u1d1b\u1d07\u0280\u028f"", ""@tweetfromnext"", ""415.8k"", ""0.03%"", ""111"", ""Save""]",,𝐑𝐚𝐩𝐡𝐚𝐞𝐥 𝐒𝐡𝐚𝐰𝐚𝐧 🤟| ᴍɪɴᴅsᴇᴛ ᴍᴀsᴛᴇʀʏ,@tweetfromnext,415.8k,0.03%,111,Save,,,,,,
2026-03-30T10:30:38,27,1,Emerson Kincaid,@emersonkincaidd,415.2k,0.72%,0.72,"[""415.2k"", ""0.72"", ""3k""]","[""0.72%""]",Emerson Kincaid | @emersonkincaidd | 415.2k | 0.72% | 3k | Save,"[""Emerson Kincaid"", ""@emersonkincaidd"", ""415.2k"", ""0.72%"", ""3k"", ""Save""]",,Emerson Kincaid,@emersonkincaidd,415.2k,0.72%,3k,Save,,,,,,
2026-03-30T10:30:38,27,2,Ortal Edri,@ortal_edri_,415.2k,1.56%,1.56,"[""415.2k"", ""1.56"", ""6.5k""]","[""1.56%""]",Ortal Edri | @ortal_edri_ | 415.2k | 1.56% | 6.5k | Save,"[""Ortal Edri"", ""@ortal_edri_"", ""415.2k"", ""1.56%"", ""6.5k"", ""Save""]",,Ortal Edri,@ortal_edri_,415.2k,1.56%,6.5k,Save,,,,,,
2026-03-30T10:30:38,27,3,Emily Ogan | Top FASTer Way Coach,@livefitwithem,414.4k,0.03%,0.03,"[""414.4k"", ""0.03"", ""125""]","[""0.03%""]",Emily Ogan | Top FASTer Way Coach | @livefitwithem | 414.4k | 0.03% | 125 | Save,"[""Emily Ogan | Top FASTer Way Coach"", ""@livefitwithem"", ""414.4k"", ""0.03%"", ""125"", ""Save""]",,Emily Ogan | Top FASTer Way Coach,@livefitwithem,414.4k,0.03%,125,Save,,,,,,
2026-03-30T10:30:38,27,4,Coach Milad and Ryan ▪️Fitness and Nutrition Coach,@tailoredfitpt,414.1k,0.68%,0.68,"[""414.1k"", ""0.68"", ""2.8k""]","[""0.68%""]",Coach Milad and Ryan ▪️Fitness and Nutrition Coach | @tailoredfitpt | 414.1k | 0.68% | 2.8k | Save,"[""Coach Milad and Ryan \u25aa\ufe0fFitness and Nutrition Coach"", ""@tailoredfitpt"", ""414.1k"", ""0.68%"", ""2.8k"", ""Save""]",,Coach Milad and Ryan ▪️Fitness and Nutrition Coach,@tailoredfitpt,414.1k,0.68%,2.8k,Save,,,,,,
2026-03-30T10:30:38,27,5,Christy McGinity,@lilchristyrocks,412.9k,0.14%,0.14,"[""412.9k"", ""0.14"", ""582""]","[""0.14%""]",Christy McGinity | @lilchristyrocks | 412.9k | 0.14% | 582 | Save,"[""Christy McGinity"", ""@lilchristyrocks"", ""412.9k"", ""0.14%"", ""582"", ""Save""]",,Christy McGinity,@lilchristyrocks,412.9k,0.14%,582,Save,,,,,,
2026-03-30T10:30:38,27,6,Xenia 💎,@xeniadidthat,412.3k,0.17%,0.17,"[""412.3k"", ""0.17"", ""686""]","[""0.17%""]",Xenia 💎 | @xeniadidthat | 412.3k | 0.17% | 686 | Save,"[""Xenia \ud83d\udc8e"", ""@xeniadidthat"", ""412.3k"", ""0.17%"", ""686"", ""Save""]",,Xenia 💎,@xeniadidthat,412.3k,0.17%,686,Save,,,,,,
2026-03-30T10:30:38,27,7,Body By Vina 🏳️‍🌈,@bodybyvina,411.1k,0.26%,0.26,"[""411.1k"", ""0.26"", ""1.1k""]","[""0.26%""]",Body By Vina 🏳️‍🌈 | @bodybyvina | 411.1k | 0.26% | 1.1k | Save,"[""Body By Vina \ud83c\udff3\ufe0f\u200d\ud83c\udf08"", ""@bodybyvina"", ""411.1k"", ""0.26%"", ""1.1k"", ""Save""]",,Body By Vina 🏳️‍🌈,@bodybyvina,411.1k,0.26%,1.1k,Save,,,,,,
2026-03-30T10:30:38,27,8,Ish Major M. D.,@dr_ish_major,411.1k,0.05%,0.05,"[""411.1k"", ""0.05"", ""186""]","[""0.05%""]",Ish Major M. D. | @dr_ish_major | 411.1k | 0.05% | 186 | Save,"[""Ish Major M. D."", ""@dr_ish_major"", ""411.1k"", ""0.05%"", ""186"", ""Save""]",,Ish Major M. D.,@dr_ish_major,411.1k,0.05%,186,Save,,,,,,
2026-03-30T10:30:38,27,9,courtney | holistic motherhood made simple,@wellnessrains,410.3k,0.42%,0.42,"[""410.3k"", ""0.42"", ""1.7k""]","[""0.42%""]",courtney | holistic motherhood made simple | @wellnessrains | 410.3k | 0.42% | 1.7k | Save,"[""courtney | holistic motherhood made simple"", ""@wellnessrains"", ""410.3k"", ""0.42%"", ""1.7k"", ""Save""]",,courtney | holistic motherhood made simple,@wellnessrains,410.3k,0.42%,1.7k,Save,,,,,,
2026-03-30T10:30:38,27,10,Coach Nick Orozco 🍊🐊,@coach_nicko,410.1k,0.14%,0.14,"[""410.1k"", ""0.14"", ""578""]","[""0.14%""]",Coach Nick Orozco 🍊🐊 | @coach_nicko | 410.1k | 0.14% | 578 | Save,"[""Coach Nick Orozco \ud83c\udf4a\ud83d\udc0a"", ""@coach_nicko"", ""410.1k"", ""0.14%"", ""578"", ""Save""]",,Coach Nick Orozco 🍊🐊,@coach_nicko,410.1k,0.14%,578,Save,,,,,,
2026-03-30T10:30:38,27,11,Commanding Life,@commandinglife,410k,0.11%,0.11,"[""410k"", ""0.11"", ""444""]","[""0.11%""]",Commanding Life | @commandinglife | 410k | 0.11% | 444 | Save,"[""Commanding Life"", ""@commandinglife"", ""410k"", ""0.11%"", ""444"", ""Save""]",,Commanding Life,@commandinglife,410k,0.11%,444,Save,,,,,,
2026-03-30T10:30:38,27,12,Maria Prieto | Coach #1 Marketing Digital & Mercado de Afiliados,@mariaprietooficial,1,0.39%,409.6k,"[""1"", ""409.6k"", ""0.39"", ""1.6k""]","[""0.39%""]",Maria Prieto | Coach #1 Marketing Digital & Mercado de Afiliados | @mariaprietooficial | 409.6k | 0.39% | 1.6k | Save,"[""Maria Prieto | Coach #1 Marketing Digital & Mercado de Afiliados"", ""@mariaprietooficial"", ""409.6k"", ""0.39%"", ""1.6k"", ""Save""]",,Maria Prieto | Coach #1 Marketing Digital & Mercado de Afiliados,@mariaprietooficial,409.6k,0.39%,1.6k,Save,,,,,,
2026-03-30T10:30:38,27,13,Breauna Eckman,@fitnessbre_,409.1k,,,"[""409.1k""]",[],Breauna Eckman | @fitnessbre_ | 409.1k | Likes are hidden | Likes are hidden | Save,"[""Breauna Eckman"", ""@fitnessbre_"", ""409.1k"", ""Likes are hidden"", ""Likes are hidden"", ""Save""]","er_missing,engagement_missing",Breauna Eckman,@fitnessbre_,409.1k,Likes are hidden,Likes are hidden,Save,,,,,,
2026-03-30T10:30:38,27,14,Marquieta Williams,@womanknowthyself,408.4k,0.27%,0.27,"[""408.4k"", ""0.27"", ""1.1k""]","[""0.27%""]",Marquieta Williams | @womanknowthyself | 408.4k | 0.27% | 1.1k | Save,"[""Marquieta Williams"", ""@womanknowthyself"", ""408.4k"", ""0.27%"", ""1.1k"", ""Save""]",,Marquieta Williams,@womanknowthyself,408.4k,0.27%,1.1k,Save,,,,,,
2026-03-30T10:30:38,27,15,Alex Redmond | Mom Fat Loss Coach,@alexandra_redmond,407k,0.05%,0.05,"[""407k"", ""0.05"", ""191""]","[""0.05%""]",Alex Redmond | Mom Fat Loss Coach | @alexandra_redmond | 407k | 0.05% | 191 | Save,"[""Alex Redmond | Mom Fat Loss Coach"", ""@alexandra_redmond"", ""407k"", ""0.05%"", ""191"", ""Save""]",,Alex Redmond | Mom Fat Loss Coach,@alexandra_redmond,407k,0.05%,191,Save,,,,,,
