scrape_timestamp,page_number,row_number,inferred_name,inferred_handle,inferred_followers,inferred_er,inferred_engagement,numeric_tokens,percent_tokens,all_visible_text,visible_lines_json,debug_notes,line_1,line_2,line_3,line_4,line_5,line_6,line_7,line_8,line_9,line_10,line_11,line_12
2026-03-25T13:17:44,1,1,WEIGHTLOSS88🇺🇸,@weightloss88_,1.6M,0.01%,0.01,"[""1.6M"", ""0.01"", ""208""]","[""0.01%""]",WEIGHTLOSS88🇺🇸 | @weightloss88_ | 1.6M | 0.01% | 208 | Save,"[""WEIGHTLOSS88\ud83c\uddfa\ud83c\uddf8"", ""@weightloss88_"", ""1.6M"", ""0.01%"", ""208"", ""Save""]",,WEIGHTLOSS88🇺🇸,@weightloss88_,1.6M,0.01%,208,Save,,,,,,
2026-03-25T13:17:44,1,2,William Seeds,@williamaseedsmd,1.5M,1.14%,1.14,"[""1.5M"", ""1.14"", ""17.3k""]","[""1.14%""]",William Seeds | @williamaseedsmd | 1.5M | 1.14% | 17.3k | Save,"[""William Seeds"", ""@williamaseedsmd"", ""1.5M"", ""1.14%"", ""17.3k"", ""Save""]",,William Seeds,@williamaseedsmd,1.5M,1.14%,17.3k,Save,,,,,,
2026-03-25T13:17:44,1,3,"Dr. Josh Axe, DC, DNM, CNS | Podcast Host",@drjoshaxe,1.5M,0.12%,0.12,"[""1.5M"", ""0.12"", ""1.8k""]","[""0.12%""]","Dr. Josh Axe, DC, DNM, CNS | Podcast Host | @drjoshaxe | 1.5M | 0.12% | 1.8k | Save","[""Dr. Josh Axe, DC, DNM, CNS | Podcast Host"", ""@drjoshaxe"", ""1.5M"", ""0.12%"", ""1.8k"", ""Save""]",,"Dr. Josh Axe, DC, DNM, CNS | Podcast Host",@drjoshaxe,1.5M,0.12%,1.8k,Save,,,,,,
2026-03-25T13:17:44,1,4,Brandon Palmer,@b.palmer_,1.5M,,,"[""1.5M""]",[],Brandon Palmer | @b.palmer_ | 1.5M | Likes are hidden | Likes are hidden | Save,"[""Brandon Palmer"", ""@b.palmer_"", ""1.5M"", ""Likes are hidden"", ""Likes are hidden"", ""Save""]","er_missing,engagement_missing",Brandon Palmer,@b.palmer_,1.5M,Likes are hidden,Likes are hidden,Save,,,,,,
2026-03-25T13:17:44,1,5,FLAT TUMMY CO,@flattummyco,1.4M,0%,0,"[""1.4M"", ""0"", ""13""]","[""0%""]",FLAT TUMMY CO | @flattummyco | 1.4M | 0% | 13 | Save,"[""FLAT TUMMY CO"", ""@flattummyco"", ""1.4M"", ""0%"", ""13"", ""Save""]",,FLAT TUMMY CO,@flattummyco,1.4M,0%,13,Save,,,,,,
2026-03-25T13:17:44,1,6,Dr Layla Sade,@drlaylasade,1.4M,0.23%,0.23,"[""1.4M"", ""0.23"", ""3.3k""]","[""0.23%""]",Dr Layla Sade | @drlaylasade | 1.4M | 0.23% | 3.3k | Save,"[""Dr Layla Sade"", ""@drlaylasade"", ""1.4M"", ""0.23%"", ""3.3k"", ""Save""]",,Dr Layla Sade,@drlaylasade,1.4M,0.23%,3.3k,Save,,,,,,
2026-03-25T13:17:44,1,7,Dave Asprey,@dave.asprey,1.4M,0.04%,0.04,"[""1.4M"", ""0.04"", ""533""]","[""0.04%""]",Dave Asprey | @dave.asprey | 1.4M | 0.04% | 533 | Save,"[""Dave Asprey"", ""@dave.asprey"", ""1.4M"", ""0.04%"", ""533"", ""Save""]",,Dave Asprey,@dave.asprey,1.4M,0.04%,533,Save,,,,,,
2026-03-25T13:17:44,1,8,Dr. Jason Emer,@jasonemerofficial,1.3M,0.01%,0.01,"[""1.3M"", ""0.01"", ""148""]","[""0.01%""]",Dr. Jason Emer | @jasonemerofficial | 1.3M | 0.01% | 148 | Save,"[""Dr. Jason Emer"", ""@jasonemerofficial"", ""1.3M"", ""0.01%"", ""148"", ""Save""]",,Dr. Jason Emer,@jasonemerofficial,1.3M,0.01%,148,Save,,,,,,
2026-03-25T13:17:44,1,9,Jason Poston,@jasonposton,1.2M,1.02%,1.02,"[""1.2M"", ""1.02"", ""12.6k""]","[""1.02%""]",Jason Poston | @jasonposton | 1.2M | 1.02% | 12.6k | Save,"[""Jason Poston"", ""@jasonposton"", ""1.2M"", ""1.02%"", ""12.6k"", ""Save""]",,Jason Poston,@jasonposton,1.2M,1.02%,12.6k,Save,,,,,,
2026-03-25T13:17:44,1,10,"Layne Norton, PhD",@biolayne,1.2M,0.21%,0.21,"[""1.2M"", ""0.21"", ""2.5k""]","[""0.21%""]","Layne Norton, PhD | @biolayne | 1.2M | 0.21% | 2.5k | Save","[""Layne Norton, PhD"", ""@biolayne"", ""1.2M"", ""0.21%"", ""2.5k"", ""Save""]",,"Layne Norton, PhD",@biolayne,1.2M,0.21%,2.5k,Save,,,,,,
2026-03-25T13:17:44,1,11,Kashif Khan,@kashkhanofficial,1.1M,0.52%,0.52,"[""1.1M"", ""0.52"", ""5.8k""]","[""0.52%""]",Kashif Khan | @kashkhanofficial | 1.1M | 0.52% | 5.8k | Save,"[""Kashif Khan"", ""@kashkhanofficial"", ""1.1M"", ""0.52%"", ""5.8k"", ""Save""]",,Kashif Khan,@kashkhanofficial,1.1M,0.52%,5.8k,Save,,,,,,
2026-03-25T13:17:44,1,12,Melissa Alcantara | Founder | Entrepreneur | Lifestyle Coach,@fitgurlmel,1.1M,0.23%,0.23,"[""1.1M"", ""0.23"", ""2.5k""]","[""0.23%""]",Melissa Alcantara | Founder | Entrepreneur | Lifestyle Coach | @fitgurlmel | 1.1M | 0.23% | 2.5k | Save,"[""Melissa Alcantara | Founder | Entrepreneur | Lifestyle Coach"", ""@fitgurlmel"", ""1.1M"", ""0.23%"", ""2.5k"", ""Save""]",,Melissa Alcantara | Founder | Entrepreneur | Lifestyle Coach,@fitgurlmel,1.1M,0.23%,2.5k,Save,,,,,,
2026-03-25T13:17:44,1,13,Harold Leffall,@haroldleffall,1M,0.07%,0.07,"[""1M"", ""0.07"", ""683""]","[""0.07%""]",Harold Leffall | @haroldleffall | 1M | 0.07% | 683 | Save,"[""Harold Leffall"", ""@haroldleffall"", ""1M"", ""0.07%"", ""683"", ""Save""]",,Harold Leffall,@haroldleffall,1M,0.07%,683,Save,,,,,,
2026-03-25T13:17:44,1,14,Adelina Jordan,@lina_fit,1M,0.49%,0.49,"[""1M"", ""0.49"", ""4.9k""]","[""0.49%""]",Adelina Jordan | @lina_fit | 1M | 0.49% | 4.9k | Save,"[""Adelina Jordan"", ""@lina_fit"", ""1M"", ""0.49%"", ""4.9k"", ""Save""]",,Adelina Jordan,@lina_fit,1M,0.49%,4.9k,Save,,,,,,
2026-03-25T13:17:44,1,15,BeSlimWisely | WeightlossTips,@beslimwisely,1M,0.02%,0.02,"[""1M"", ""0.02"", ""192""]","[""0.02%""]",BeSlimWisely | WeightlossTips | @beslimwisely | 1M | 0.02% | 192 | Save,"[""BeSlimWisely | WeightlossTips"", ""@beslimwisely"", ""1M"", ""0.02%"", ""192"", ""Save""]",,BeSlimWisely | WeightlossTips,@beslimwisely,1M,0.02%,192,Save,,,,,,
2026-03-25T13:18:13,2,1,Antiaging I Longevity,@antiagingmission,967.7k,0.03%,0.03,"[""967.7k"", ""0.03"", ""251""]","[""0.03%""]",Antiaging I Longevity | @antiagingmission | 967.7k | 0.03% | 251 | Save,"[""Antiaging I Longevity"", ""@antiagingmission"", ""967.7k"", ""0.03%"", ""251"", ""Save""]",,Antiaging I Longevity,@antiagingmission,967.7k,0.03%,251,Save,,,,,,
2026-03-25T13:18:13,2,2,Amino Acids Health,@aminocompany,883.1k,0%,0,"[""883.1k"", ""0"", ""4""]","[""0%""]",Amino Acids Health | @aminocompany | 883.1k | 0% | 4 | Save,"[""Amino Acids Health"", ""@aminocompany"", ""883.1k"", ""0%"", ""4"", ""Save""]",,Amino Acids Health,@aminocompany,883.1k,0%,4,Save,,,,,,
2026-03-25T13:18:13,2,3,Tonum Health,@smoothie.healing,806.5k,0.08%,0.08,"[""806.5k"", ""0.08"", ""678""]","[""0.08%""]",Tonum Health | @smoothie.healing | 806.5k | 0.08% | 678 | Save,"[""Tonum Health"", ""@smoothie.healing"", ""806.5k"", ""0.08%"", ""678"", ""Save""]",,Tonum Health,@smoothie.healing,806.5k,0.08%,678,Save,,,,,,
2026-03-25T13:18:13,2,4,Emmie Keefe | Healthy Emmie,@healthyemmie,803.9k,0.82%,0.82,"[""803.9k"", ""0.82"", ""6.6k""]","[""0.82%""]",Emmie Keefe | Healthy Emmie | @healthyemmie | 803.9k | 0.82% | 6.6k | Save,"[""Emmie Keefe | Healthy Emmie"", ""@healthyemmie"", ""803.9k"", ""0.82%"", ""6.6k"", ""Save""]",,Emmie Keefe | Healthy Emmie,@healthyemmie,803.9k,0.82%,6.6k,Save,,,,,,
