scrape_timestamp,page_number,row_number,inferred_name,inferred_handle,inferred_followers,inferred_er,inferred_engagement,numeric_tokens,percent_tokens,all_visible_text,visible_lines_json,debug_notes,line_1,line_2,line_3,line_4,line_5,line_6,line_7,line_8,line_9,line_10,line_11,line_12
2026-03-30T10:15:30,1,14,Iyanla Vanzant,@iyanlavanzant,2M,0.03%,0.03,"[""2M"", ""0.03"", ""677""]","[""0.03%""]",Iyanla Vanzant | @iyanlavanzant | 2M | 0.03% | 677 | Save,"[""Iyanla Vanzant"", ""@iyanlavanzant"", ""2M"", ""0.03%"", ""677"", ""Save""]",,Iyanla Vanzant,@iyanlavanzant,2M,0.03%,677,Save,,,,,,
2026-03-30T10:15:30,1,15,Caleb Hammett | Christian fitness coach,@dripking,2M,0.37%,0.37,"[""2M"", ""0.37"", ""7.4k""]","[""0.37%""]",Caleb Hammett | Christian fitness coach | @dripking | 2M | 0.37% | 7.4k | Save,"[""Caleb Hammett | Christian fitness coach"", ""@dripking"", ""2M"", ""0.37%"", ""7.4k"", ""Save""]",,Caleb Hammett | Christian fitness coach,@dripking,2M,0.37%,7.4k,Save,,,,,,
2026-03-30T10:15:58,2,1,Brad Winget 🔥,@brad.winget,2M,3.27%,3.27,"[""2M"", ""3.27"", ""64.3k""]","[""3.27%""]",Brad Winget 🔥 | @brad.winget | 2M | 3.27% | 64.3k | Save,"[""Brad Winget \ud83d\udd25"", ""@brad.winget"", ""2M"", ""3.27%"", ""64.3k"", ""Save""]",,Brad Winget 🔥,@brad.winget,2M,3.27%,64.3k,Save,,,,,,
2026-03-30T10:15:58,2,2,CataBeauty&Wellness | holistic beauty coach & wellness,@catalinaaristizabalh,2M,0.3%,0.3,"[""2M"", ""0.3"", ""5.8k""]","[""0.3%""]",CataBeauty&Wellness | holistic beauty coach & wellness | @catalinaaristizabalh | 2M | 0.3% | 5.8k | Save,"[""CataBeauty&Wellness | holistic beauty coach & wellness"", ""@catalinaaristizabalh"", ""2M"", ""0.3%"", ""5.8k"", ""Save""]",,CataBeauty&Wellness | holistic beauty coach & wellness,@catalinaaristizabalh,2M,0.3%,5.8k,Save,,,,,,
2026-03-30T10:15:58,2,3,Thomas DeLauer,@thomasdelauer,1.9M,0.17%,0.17,"[""1.9M"", ""0.17"", ""3.3k""]","[""0.17%""]",Thomas DeLauer | @thomasdelauer | 1.9M | 0.17% | 3.3k | Save,"[""Thomas DeLauer"", ""@thomasdelauer"", ""1.9M"", ""0.17%"", ""3.3k"", ""Save""]",,Thomas DeLauer,@thomasdelauer,1.9M,0.17%,3.3k,Save,,,,,,
2026-03-30T10:15:58,2,4,David Suh | Posing Coach & Portrait Photographer,@davidsuhphoto,1.9M,0.98%,0.98,"[""1.9M"", ""0.98"", ""18.7k""]","[""0.98%""]",David Suh | Posing Coach & Portrait Photographer | @davidsuhphoto | 1.9M | 0.98% | 18.7k | Save,"[""David Suh | Posing Coach & Portrait Photographer"", ""@davidsuhphoto"", ""1.9M"", ""0.98%"", ""18.7k"", ""Save""]",,David Suh | Posing Coach & Portrait Photographer,@davidsuhphoto,1.9M,0.98%,18.7k,Save,,,,,,
2026-03-30T10:15:58,2,5,Vanessa Mejia,@vanessamfit,1.9M,0.54%,0.54,"[""1.9M"", ""0.54"", ""10.2k""]","[""0.54%""]",Vanessa Mejia | @vanessamfit | 1.9M | 0.54% | 10.2k | Save,"[""Vanessa Mejia"", ""@vanessamfit"", ""1.9M"", ""0.54%"", ""10.2k"", ""Save""]",,Vanessa Mejia,@vanessamfit,1.9M,0.54%,10.2k,Save,,,,,,
2026-03-30T10:15:58,2,6,The Sabrina Zohar Show,@thesabrinazoharshow,1.9M,1.08%,1.08,"[""1.9M"", ""1.08"", ""20.2k""]","[""1.08%""]",The Sabrina Zohar Show | @thesabrinazoharshow | 1.9M | 1.08% | 20.2k | Save,"[""The Sabrina Zohar Show"", ""@thesabrinazoharshow"", ""1.9M"", ""1.08%"", ""20.2k"", ""Save""]",,The Sabrina Zohar Show,@thesabrinazoharshow,1.9M,1.08%,20.2k,Save,,,,,,
2026-03-30T10:15:58,2,7,Michael Vick,@mikevick,1.8M,0.23%,0.23,"[""1.8M"", ""0.23"", ""4.2k""]","[""0.23%""]",Michael Vick | @mikevick | 1.8M | 0.23% | 4.2k | Save,"[""Michael Vick"", ""@mikevick"", ""1.8M"", ""0.23%"", ""4.2k"", ""Save""]",,Michael Vick,@mikevick,1.8M,0.23%,4.2k,Save,,,,,,
2026-03-30T10:15:58,2,8,🇺🇸 Women’s Fitness Coach | Home Workouts,@women_fitness93,1.8M,0.36%,0.36,"[""1.8M"", ""0.36"", ""6.5k""]","[""0.36%""]",🇺🇸 Women’s Fitness Coach | Home Workouts | @women_fitness93 | 1.8M | 0.36% | 6.5k | Save,"[""\ud83c\uddfa\ud83c\uddf8 Women\u2019s Fitness Coach | Home Workouts"", ""@women_fitness93"", ""1.8M"", ""0.36%"", ""6.5k"", ""Save""]",,🇺🇸 Women’s Fitness Coach | Home Workouts,@women_fitness93,1.8M,0.36%,6.5k,Save,,,,,,
2026-03-30T10:15:58,2,9,Coach Legend,@coachlegendary,1.8M,1.77%,1.77,"[""1.8M"", ""1.77"", ""31.6k""]","[""1.77%""]",Coach Legend | @coachlegendary | 1.8M | 1.77% | 31.6k | Save,"[""Coach Legend"", ""@coachlegendary"", ""1.8M"", ""1.77%"", ""31.6k"", ""Save""]",,Coach Legend,@coachlegendary,1.8M,1.77%,31.6k,Save,,,,,,
2026-03-30T10:15:58,2,10,Sydney Carter,@coachsydcarter,1.8M,1.12%,1.12,"[""1.8M"", ""1.12"", ""19.7k""]","[""1.12%""]",Sydney Carter | @coachsydcarter | 1.8M | 1.12% | 19.7k | Save,"[""Sydney Carter"", ""@coachsydcarter"", ""1.8M"", ""1.12%"", ""19.7k"", ""Save""]",,Sydney Carter,@coachsydcarter,1.8M,1.12%,19.7k,Save,,,,,,
2026-03-30T10:15:58,2,11,Nicolina Nunes | ONLINE COACH,@nicolinanunes,1.7M,0.44%,0.44,"[""1.7M"", ""0.44"", ""7.6k""]","[""0.44%""]",Nicolina Nunes | ONLINE COACH | @nicolinanunes | 1.7M | 0.44% | 7.6k | Save,"[""Nicolina Nunes | ONLINE COACH"", ""@nicolinanunes"", ""1.7M"", ""0.44%"", ""7.6k"", ""Save""]",,Nicolina Nunes | ONLINE COACH,@nicolinanunes,1.7M,0.44%,7.6k,Save,,,,,,
